
58,Microsoft Azure DevOps | Senior/Lead engineer ~ Pune Location,Wipro Infotech (A division of Wipro Limited),5,10,NA,NA,"Docker,Azure Devops,Kubernetes,IT Skills,Java,Cloud,DevOps,Azure","0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0"
59,Senior Azure DevOps Engineer,TriunionTech,7,12,NA,NA,"IT Skills,Cloud,DevOps,AWS,.Net,Azure,GIT,Terraform","0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0"
60,DevOps Engineer - Cloud Native Technologies - Kubernetes/Docker,Infracloud,10,14,NA,NA,"IT Skills,Cloud,DevOps,Native Cloud,CI CD Pipeline,Open Source,DevOps Architect,Docker","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
61,Lead DevOps Engineer,Lumiq,4,6,NA,NA,"IT Skills,Java,Python,Cloud,DevOps,Node.js,Azure, AWS","1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0"
62,DevOps Engineer - Docker/Kubernetes,VoiceTree Technologies,4,7,NA,NA,"Configuration Management,Jenkins,DevOps,Cloud Computing,Docker,CI/CD Pipeline,Microservices Architecture,Troubleshooting","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1"
63,Senior Engineer - Devops,VALUEADD SOFTTECH & SYSTEMS PVT LTD,6,10,12.0,15.0,"Jenkins,Linux,Docker,IT Skills,DevOps,Jenkins,AWS,Azure","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0"
64,Hiring Devops Engineer !!,ShelfPerks Private Limited,5,9,NA,NA,"Node.Js,Devops,Cloud,IT Skills,Cloud,DevOps,Jenkins,Azure","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0"
65,Call For SRE DevOps Engineers,MSys Tech India Pvt. Ltd.,5,10,7.0,14.0,"IT Skills,Python,Cloud,Elastic Search,AWS,Azure,Terraform,Docker","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0"
66,Cloud/DevOps Engineer,Tivona Global Technologies,3,5,NA,NA,"BPO,troubleshooting,Automation,Linux,Networking,XML,Web development,JSON","1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0"
67,Senior Devops Engineer - Chef/ansible/terraform,Hungry Bird Consulting Services,4,9,NA,NA,"IT Skills,Cloud,DevOps,Jenkins,AWS,Jenkins,DevOps,Linux","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0"
68,Devops Engineer,Cloudpoint Systems Pvt Ltd,2,4,NA,NA,"Docker,Devops,Kubernetes,IT Skills,DevOps,AWS,Maven,Cd","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
69,AWS DevOps Engineer,Exaltare Technologies Pvt Ltd,3,8,3.75,7.5,"Continuous Integration,Devops,AWS,Configuration Management,Build,CI,Cloud","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0"
70,DevOps Engineer - Kubernetes/Docker,HyrEzy Talent Solutions,5,8,NA,NA,"IT Skills,Python,Cloud,DevOps,Node.js,Jenkins,.Net,Azure","1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0"
71,Site Reliability Engineer - Java/DevOps,Yo HR Consultancy,2,6,NA,NA,"Configuration Management Tools,Java,DevOps,Site Reliability,Linux,Docker,MQ,Ansible","0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
72,"Senior Devops Engineer, Chennai",Auxo Technology Labs Pvt. Ltd.,7,10,NA,NA,"IT Skills,Java,Cloud,DevOps,Jenkins,AWS,Azure,kubernetes","0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0"
73,T2S Hiring - Senior DevOps Engineer - (6 -7yrs) - Night Shift,T2S Software Solutions Pvt. Ltd.,6,7,6.0,10.0,"IT Skills,Python,Cloud,DevOps,Jenkins,AWS,Service Level,Cloud Management","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0"
74,"Opportunity For Sr. Azure DevOps Engineer - 8K Miles, Chennai",8K Miles Software Services Limited,7,12,NA,NA,"IT Skills,Cloud,DevOps,AWS,.Net,Azure,Container,GIT","0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0"
75,Devops Engineer,TLG India Pvt ltd.,5,7,5.0,12.0,"Devops,Microsoft Azure,AWS,Nginx,Aws Cloudformation,Elk,Continuous Delivery,Redis","1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1"
76,Devops Engineer,HashedIn Technologies,2,6,NA,NA,"IT Skills,Java,Python,Cloud,DevOps,Jenkins,AWS,Azure","1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0"
77,Expert DevOps Engineer,Fundtech India Pvt. Ltd.,4,6,NA,NA,"IT Skills,Python,DevOps,Jenkins,Azure,Jenkins,GIT,Terraform","1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0"
78,Principal DevOps Engineer,Informatica Business Solutions Pvt Ltd,8,13,NA,NA,"Version control,GIT,Linux,Analytical,Informatica,Ruby,Monitoring,Python","0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0"
79,CLOUD DEVOPS PRINCIPAL ENGINEER,Eurofins It Solutions India Pvt Ltd,7,9,NA,NA,"IT Skills,Python,Cloud,DevOps,AWS,Azure,GCP,Genomics","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0"
80,DevOps Engineer – Security,Teamlease Servcies limited,4,7,NA,NA,"Linux Administration,CI/CD tools,Devops,IT Skills,AWS","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
81,Devops Engineer,Bewakoof Brands Pvt. Ltd.,3,5,NA,NA,"Cd,CI,Maintenance,Devops","0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0"
82,DevOps Engineer,Xpheno,6,10,NA,NA,"Unix,Maven,Automation,Linux,Networking,Configuration management,Perl,Troubleshooting","1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
83,DevOps Engineer,QualiTest Group,4,6,NA,NA,"IT Skills,Cloud,DevOps,Jenkins,Career development,Automation,Linux,Cloud","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
84,Staff Engineer Devops,Walmart Labs,3,8,NA,NA,"IT Skills,Java,Python,Cloud,DevOps,Jenkins,AWS,Azure","1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0"
