,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
53,Cyber Security Operations Center Specialist Associate,Varite,3,5,NA,NA,"VB SCRIPT,cyber security,Access management,Powershell,Security Analyst,query,Security operations,Active directory administration",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"IT Security Engineer , Sr",Qualcomm india pvt ltd.,3,8,NA,NA,"Cism,Data analysis,cyber security,Staffing,IT security,Information security,SOC,Network security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CYBER SECURITY ANALYST,Essen Vision Software Pvt. Ltd.,1,5,NA,NA,"Security audit,Interpersonal skills,cyber security analyst,Networking,Security management,cyber security,Management,CCNA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
56,Senior IT Security Analyst,Parexel International India Pvt. Ltd.,8,13,NA,NA,"Security Analysis,Cyber Security,Cisco Firepower,Networking,SIEM,Threat Intelligence,IDS,Fireeye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Analyst-Cyber Security,Burndy Technology and Global Business Services Private Limited,2,4,NA,NA,"IT Skills,Testing,Cyber Security,Powershell,Comp CIA Certification,NIST,MITRE Attack",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Looking For Sr. Information Security Analyst(6+ Yrs Exp) For Bangalore,Locuz Enterprise Solutions ltd,6,11,NA,NA,"Intrusion Detection,Cyber Security,Networking,SOC,Ceh,Network Security,firewall security,Information Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,Inside Sales Executive - Cyber Security/Software,Nagas Consultant,3,4,3.5,4.75,"IT Skills,Digital Marketing,Cyber Security,Lead Generation,Inside Sales,Software Sales,Business Development,IT Sales",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Cyber Security Consultant,Ingram Micro (I) Pvt Ltd,5,10,NA,NA,"It Compliance,Cyber Security,SOC,Vulnerability Assessment,Information Security Management,Project Management,Penetration Testing,Digital Forensics",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
62,Principal Cyber Security Analyst,NUANCE INDIA PVT LTD,8,10,NA,NA,"Security Analysis,Symantec,Cyber Security,SIEM,Cisco,DLP,Sumologic,IDS/IPS",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Principal Cyber Security Analyst,NUANCE INDIA PVT LTD,8,10,NA,NA,"IT Skills,Python,Incident Response,Intrusion Detection,Security Analysis,Cyber Security,SOC,SIEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Cyber Security Intrusion detection expert,Confidential,4,9,NA,NA,"IT Skills,Python,Testing,Cloud,Intrusion Detection,Security Analysis,Cyber Security,Networking",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
65,Senior Cyber Security Engineer,Visa Inc,8,10,NA,NA,"Unix,Automation,Db2,MySQL,Shell scripting,Perl,Windows,Oracle",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
66,Cyber Security Contract Analyst,Ingram Micro (I) Pvt Ltd,4,9,NA,NA,"Cism,Computer science,PMP,Manager Internal Audit,Contract management,Risk assessment,Information security,Vendor",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
